iter	MultiClass
0	0.9671780929
1	0.8710453641
2	0.800113456
3	0.745269863
4	0.7009156771
5	0.6641178395
6	0.6335036797
7	0.6067437468
8	0.586021643
9	0.5683173825
10	0.5517747106
11	0.5385004634
12	0.5272208928
13	0.5168914727
14	0.5074757121
15	0.5003080974
16	0.4929741784
17	0.4866909782
18	0.4800655514
19	0.4737926999
20	0.4688114871
21	0.464200797
22	0.4602232631
23	0.4565321408
24	0.4527702691
25	0.4484272527
26	0.4459601622
27	0.4431485914
28	0.4404463805
29	0.4374923638
30	0.4344745537
31	0.4318814062
32	0.4297532117
33	0.4283899592
34	0.4249742902
35	0.4225432265
36	0.4205087459
37	0.4186769496
38	0.4165733771
39	0.4152925902
40	0.4132657669
41	0.4112004253
42	0.4094993583
43	0.4077176527
44	0.4063130276
45	0.4044992055
46	0.4032258525
47	0.4020491238
48	0.4006104174
49	0.3996817346
50	0.3981169557
51	0.3963129241
52	0.394748024
53	0.3928772614
54	0.391363177
55	0.3896513979
56	0.3881309416
57	0.3871503537
58	0.385942608
59	0.3852923947
60	0.3833686442
61	0.3823980918
62	0.3810899228
63	0.380039415
64	0.3789289243
65	0.3778567277
66	0.3764451606
67	0.3749409023
68	0.3737116068
69	0.372295212
70	0.3714905646
71	0.370397394
72	0.3697205888
73	0.3683642757
74	0.3675326369
75	0.366776937
76	0.3655100912
77	0.3643895864
78	0.3635030548
79	0.362765345
80	0.361549196
81	0.3607585478
82	0.3592611973
83	0.3585896721
84	0.3575521769
85	0.3562380156
86	0.3552267474
87	0.354448021
88	0.3535290272
89	0.352473093
90	0.3513762219
91	0.349966703
92	0.3490762902
93	0.3480692555
94	0.3466316947
95	0.3458047916
96	0.3447845795
97	0.3441121994
98	0.3433471398
99	0.3424782451
100	0.3415166841
101	0.3407646006
102	0.3401069726
103	0.3393248822
104	0.3385847044
105	0.3377218193
106	0.3369507541
107	0.3360457568
108	0.335395782
109	0.3345687205
110	0.3337429931
111	0.3330547206
112	0.3318778019
113	0.3310654567
114	0.3302014902
115	0.329337701
116	0.3287240747
117	0.3277193444
118	0.3268854313
119	0.326164054
120	0.3252287872
121	0.324311388
122	0.323368779
123	0.3227692206
124	0.3219900362
125	0.3208324093
126	0.3199570435
127	0.319132619
128	0.3185454668
129	0.3177826619
130	0.3172883412
131	0.3164791894
132	0.3156939183
133	0.3151849874
134	0.3142545774
135	0.313616928
136	0.312698537
137	0.3118289524
138	0.3111156965
139	0.3102131426
140	0.3095929775
141	0.3090376293
142	0.3084992471
143	0.307638254
144	0.3068496511
145	0.3061802533
146	0.3056421839
147	0.3046239243
148	0.3038298754
149	0.3030014936
150	0.3022552507
151	0.301715225
152	0.3011588597
153	0.3005226784
154	0.2996927163
155	0.2990451315
156	0.2983772303
157	0.2972227667
158	0.296485639
159	0.2959690861
160	0.2953256
161	0.2945819038
162	0.2938719628
163	0.2932430508
164	0.2925078743
165	0.2918687953
166	0.2911922685
167	0.2901936855
168	0.289249698
169	0.2883778321
170	0.2878150871
171	0.2870981076
172	0.2866273999
173	0.2860663395
174	0.2853254551
175	0.2847640517
176	0.2842031733
177	0.2836582411
178	0.2832587231
179	0.2827752835
180	0.2821691453
181	0.2812932967
182	0.2806317411
183	0.279924786
184	0.2793075021
185	0.2787412466
186	0.2778493367
187	0.277307518
188	0.2767601898
189	0.2764144547
190	0.2757137522
191	0.2753192311
192	0.2748691831
193	0.2740476405
194	0.273680986
195	0.272975016
196	0.2723859834
197	0.2718098298
198	0.2714040438
199	0.2708324816
200	0.2702230484
201	0.269477597
202	0.2689655339
203	0.2684768971
204	0.2679031266
205	0.2672736082
206	0.2666053198
207	0.2659342269
208	0.2654938737
209	0.2647755215
210	0.2639466166
211	0.26326544
212	0.2625793438
213	0.2621335823
214	0.261518459
215	0.2611019196
216	0.260743842
217	0.2599320276
218	0.2594360172
219	0.2587889768
220	0.2583148056
221	0.2577061647
222	0.2570224481
223	0.2564832858
224	0.2560600824
225	0.2557153217
226	0.2550971567
227	0.254593394
228	0.2541570432
229	0.2535933472
230	0.2532041414
231	0.2525750355
232	0.2519572164
233	0.2515256121
234	0.2510142285
235	0.250483808
236	0.249882177
237	0.2493971709
238	0.248911756
239	0.2482239934
240	0.2474728345
241	0.2468651357
242	0.2464993399
243	0.2458114193
244	0.24541123
245	0.2448423131
246	0.2445496984
247	0.2438891479
248	0.2433423452
249	0.242890962
250	0.2425500574
251	0.2420466757
252	0.2415629548
253	0.2409888253
254	0.2403341048
255	0.240030187
256	0.2396869478
257	0.23913931
258	0.2387738767
259	0.2381297735
260	0.2375379656
261	0.237190733
262	0.236780425
263	0.2361807922
264	0.2355910295
265	0.2351228899
266	0.2346879847
267	0.2342734596
268	0.2338860417
269	0.2333653949
270	0.2327171904
